GAO_LARGE_INTESTINE_ADULT_CG_GOBLET_CELL_SUBTYPE_2,,,
,,,
Original,NCBI (Entrez),Gene,Gene
Member,Gene Id,Symbol,Description
ACBD7,414149,ACBD7,acyl-CoA binding domain co...
ADAMTS4,9507,ADAMTS4,ADAM metallopeptidase with...
ANKRD45,339416,ANKRD45,ankyrin repeat domain 45 [...
ANTXR1,84168,ANTXR1,ANTXR cell adhesion molecu...
ARGFX,503582,ARGFX,arginine-fifty homeobox [S...
AZU1,566,AZU1,azurocidin 1 [Source:HGNC ...
BNC2,54796,BNC2,basonuclin 2 [Source:HGNC ...
C1S,716,C1S,complement C1s [Source:HGN...
CEACAM22P,388550,CEACAM22P,"""CEA cell adhesion molecul..."
CLEC14A,161198,CLEC14A,C-type lectin domain conta...
DCN,1634,DCN,decorin [Source:HGNC Symbo...
DEFA4,1669,DEFA4,defensin alpha 4 [Source:H...
DNAH5,1767,DNAH5,dynein axonemal heavy chai...
DSC3,1825,DSC3,desmocollin 3 [Source:HGNC...
FERMT2,10979,FERMT2,FERM domain containing kin...
FGD5P1,100132526,FGD5P1,"""FYVE, RhoGEF and PH domai..."
FLJ42102,399923,ACTE1P,"""actin epsilon 1, pseudoge..."
FYB,2533,FYB1,FYN binding protein 1 [Sou...
FZD4,8322,FZD4,frizzled class receptor 4 ...
GABRB2,2561,GABRB2,gamma-aminobutyric acid ty...
GAN,8139,GAN,gigaxonin [Source:HGNC Sym...
GNRHR2,114814,GNRHR2,gonadotropin releasing hor...
GRM6,2916,GRM6,glutamate metabotropic rec...
HAND2-AS1,79804,HAND2-AS1,HAND2 antisense RNA 1 [Sou...
HP09025,100652929,LINC02078,long intergenic non-protei...
IGFBP5,3488,IGFBP5,insulin like growth factor...
IL10,3586,IL10,interleukin 10 [Source:HGN...
KCNMB4,27345,KCNMB4,potassium calcium-activate...
KDR,3791,KDR,kinase insert domain recep...
KLRD1,3824,KLRD1,killer cell lectin like re...
LEMD1-AS1,284576,LEMD1-AS1,LEMD1 antisense RNA 1 [Sou...
LINC01205,401082,LINC01205,long intergenic non-protei...
LINC01448,101928795,LINC01448,long intergenic non-protei...
LOC100128398,100128398,ENSG00000176593,"""novel transcript, antisen..."
LOC101927683,101927683,LINC01744,long intergenic non-protei...
LOC101928137,101928137,LINC02444,long intergenic non-protei...
LRRN1,57633,LRRN1,leucine rich repeat neuron...
MCMDC2,157777,MCMDC2,minichromosome maintenance...
MNDA,4332,MNDA,myeloid cell nuclear diffe...
MPDZ,8777,MPDZ,multiple PDZ domain crumbs...
MUC19,283463,MUC19,"""mucin 19, oligomeric [Sou..."
NOS1,4842,NOS1,nitric oxide synthase 1 [S...
PTGIS,5740,PTGIS,prostaglandin I2 synthase ...
PXDC1,221749,PXDC1,PX domain containing 1 [So...
RNF212,285498,RNF212,ring finger protein 212 [S...
RYR2,6262,RYR2,ryanodine receptor 2 [Sour...
SLC36A2,153201,SLC36A2,solute carrier family 36 m...
SMIM17,147670,SMIM17,small integral membrane pr...
SPACA6P-AS,102238594,SPACA6P-AS,SPACA6P antisense RNA [Sou...
ST8SIA1,6489,ST8SIA1,"""ST8 alpha-N-acetyl-neuram..."
SULT1C4,27233,SULT1C4,sulfotransferase family 1C...
SYCP2,10388,SYCP2,synaptonemal complex prote...
SYNPO2,171024,SYNPO2,synaptopodin 2 [Source:HGN...
VIPR2,7434,VIPR2,vasoactive intestinal pept...
VWF,7450,VWF,von Willebrand factor [Sou...
ZFP42,132625,ZFP42,ZFP42 zinc finger protein ...
ZNF114,163071,ZNF114,zinc finger protein 114 [S...
